ell,TT_Cl_uK2,EE_Cl_uK2,BB_Cl_uK2,TE_Cl_uK2,TT_Dl_uK2,EE_Dl_uK2,BB_Dl_uK2,TE_Dl_uK2
13,24.745888278547632,9.555354002477685e-05,3.370547463526027e-05,0.024213663277170686,716.794340212978,0.002767822916926796,0.000976319507337751,0.7013778045682438
14,21.854244444015155,8.98199986532715e-05,3.349192460849289e-05,0.022505492931787684,730.4243164687564,0.0030020123225768637,0.0011193851245715745,0.7521906938308814
15,19.483731820050412,8.679329267939599e-05,3.326071726334976e-05,0.02109149198141048,744.2237349690897,0.0033152595737153965,0.0012704658151785726,0.8056356494458925
16,17.547804772531233,8.540617267382686e-05,3.301144963777659e-05,0.01994999277955545,759.6470046290922,0.003697245558035065,0.0014290704256669144,0.8636380706197729
17,15.944861855256987,8.600130621830006e-05,3.274372157797393e-05,0.01897067958389552,776.5372958415569,0.004188385097082676,0.0015946654941739473,0.9238988934543784
18,14.584554456931956,8.871370532467563e-05,3.245714070442618e-05,0.018103463253200437,793.8517456378697,0.004828774855067614,0.0017666743185545974,0.9853894370296322
19,13.43281574748145,9.298069949026274e-05,3.215132745596636e-05,0.01738383289535188,812.4016298246438,0.005623368415686608,0.001944476222801623,1.0513547153679237
20,12.425797441693506,9.80235825024907e-05,3.182592018527143e-05,0.016707093418473307,830.6033755757423,0.006552393831835998,0.0021274060566923124,1.1167869309442013
21,11.54814582558454,0.0001035342286432694,3.148058028461174e-05,0.016133792676644894,849.130355159771,0.007612828731715663,0.002314753963228118,1.1863110591522295
22,10.77799785186539,0.00010950545297455514,3.1114997162984766e-05,0.015650260995387688,867.9780471876524,0.008818737073027277,0.0025057654350063388,1.2603530974356838
23,10.093412213579777,0.00011568758754153567,3.072889341820091e-05,0.015212094024943218,886.7418784433426,0.010163562779209696,0.002699641716354377,1.3364361372843163
24,9.484764010853324,0.00012194835732385644,3.0322029638407595e-05,0.014779626205909929,905.7282458324506,0.011645210322017093,0.0028955405409189145,1.4113503406326477
25,8.942065426909219,0.00012826589260694947,2.989420922282449e-05,0.014281198495420614,925.063044193432,0.013269198045018632,0.0030925772589632987,1.477400166984774
26,8.451419950815561,0.00013469171290937077,2.944528298759975e-05,0.013768321319966881,944.2498534450672,0.015048670035934648,0.0032898263614277667,1.538290070097481
27,8.009337376995097,0.00014124763207058464,2.8975153583337565e-05,0.013254973708479162,963.6925796362203,0.016995075686108505,0.003486323423244073,1.594853507210723
28,7.608059225208374,0.00014781311008161345,2.8483779668530883e-05,0.012708128026695496,983.2185092185803,0.019102451944099506,0.00368106747773594,1.6423198510293124
29,7.241939993419847,0.00015452039452190715,2.7971179820563642e-05,0.012173570799607935,1002.7537763490612,0.021395635599104075,0.0038730238333228306,1.685611052017981
30,6.908117918480267,0.00016148289888904865,2.7437436152962686e-05,0.01160642778940879,1022.4988361946814,0.02390174547219077,0.004061127338246429,1.7179149295209002
31,6.59891236595479,0.0001685889047365776,2.6882697604501784e-05,0.01108283195744813,1041.8475258953636,0.026617103478960773,0.004244286093741904,1.749776389568819
32,6.316536477982122,0.00017586968319573378,2.6307182884107707e-05,0.010566622246649431,1061.6052518978288,0.02955799906816065,0.0044213856137386275,1.775907051430032
33,6.055001883213125,0.00018302964276748043,2.5711183038727213e-05,0.010050375217280675,1081.2528647216845,0.03268394120900045,0.004591293421903114,1.7947140570410383
34,5.8121025079631785,0.00019018380848107543,2.5095063623292384e-05,0.009541969007261012,1100.7795642399788,0.03601974492680852,0.004752864073194585,1.807195325858954
35,5.588889262071357,0.00019732664069140393,2.4459266471460465e-05,0.008996135822696079,1120.7691840893585,0.03957094293989164,0.004904944585801841,1.8040421509842761
